Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
1620,"TTKH 608 TT. Phước Vĩnh, Phú Giáo",Đông Nam Bộ,Bình Dương,Tier 1,11.2882617,106.7930846,1778,588,124,5.0
1621,"TTKH 145 Thành Thái, Quận 10",Hồ Chí Minh,Q10,Tier 1,10.7749685,106.6640502,8659,1,297,4.8
1622,PNJ Next 07-09-11 Ngô Mây,Miền Trung,Bình Định,Tier 1,13.7615673,109.2195367,2054,118,168,5.0
1623,TTKH 303 Hùng Vương - Châu Đức,Đông Nam Bộ,Bà Rịa - Vũng Tàu,Tier 3,10.6478313,107.2458109,3176,378,185,5.0
1624,TTKH 108-110 Bạch Đằng,Miền Bắc,Hải Phòng,Tier 3,20.9202945,106.6790137,3007,0,218,5.0
1625,"TTKH 170 khu phố 1, thị trấn Bình Đại",Miền Tây,Bến Tre,Tier 2,,,1761,13,134,0.0
1626,"TTKH 111-113 Cầu Diễn, Phường Phúc Diễn",Miền Bắc,Hà Nội,Tier 1,21.0452823,105.7506625,11160,0,521,5.0
1627,"TTKH 248-250 Hùng Vương, Tuy Hòa",Tây Nguyên,Phú Yên,Tier 1,13.0939236,109.3130176,3173,537,118,5.0
1628,"TTKH 748 Hùng Vương, Chư Sê",Tây Nguyên,Gia Lai,Tier 2,13.6984821,108.0748322,1038,257,101,5.0
1629,TTKH 431 Lê Duẩn - Tân Châu,Đông Nam Bộ,Tây Ninh,Tier 3,16.0705644,108.2150839,1319,0,123,5.0
1630,TTKH Bến Cam,Đông Nam Bộ,Đồng Nai,Tier 3,10.7578531,106.9257478,5884,0,191,0.0
1631,TTKH Hưng Yên,Miền Bắc,Hưng Yên,Tier 3,20.653673,106.0579108,5212,0,213,5.0
1632,TTKH 212 Phạm Văn Đồng,Tây Nguyên,Tây Nguyên,Tier 3,13.4533041,109.2199299,494,616,80,0.0
1633,"TTKH 527 Nguyễn Đáng, Trà Vinh",Miền Tây,Trà Vinh,Tier 2,9.9236519,106.3406331,3084,142,173,0.0
1634,"TTKH 562 Giải Phóng, Ea Hleo",Tây Nguyên,Tây Nguyên,Tier 3,13.2059643,108.2077035,946,430,117,5.0
1635,PNJ Parc Mall Quận 8,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7408331,106.6800861,2773,0,103,5.0
1636,"TTKH 02 QL 61, Cái Tắc",Miền Tây,Hậu Giang,Tier 3,9.9256833,105.7251244,2091,202,95,0.0
1637,PNJ Go Bạc Liêu,Miền Tây,Bạc Liêu,Tier 2,9.2967668,105.7176169,1557,109,62,0.0
1638,TTKH Châu Thành,Đông Nam Bộ,Tây Ninh,Tier 3,,,873,0,124,5.0
1639,TTKH Cái Dăm,Miền Bắc,Miền Bắc,Tier 1,20.9583192,107.0221486,2708,0,151,5.0
1640,TTKH Dầu Tiếng,Đông Nam Bộ,Đông Nam Bộ,,11.2755146,106.3590611,1816,0,166,5.0
1641,"TTKH Nguyễn Xí, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,,10.8153076,106.7079152,7152,0,399,5.0
1643,"TTKH 30 Hiệp Bình, Thủ Đức",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.839071,106.7323558,12450,0,461,4.95
1644,"TTKH Phan Đình Phùng, Pleiku",Tây Nguyên,Tây Nguyên,Tier 3,13.9860911,108.0048647,1491,443,95,1.0
1645,TTKH Xuân Lộc,Đông Nam Bộ,Đông Nam Bộ,,10.9268844,107.4024238,2078,0,160,5.0
1646,"18-19 QL80, Kiên Lương",Miền Tây,Miền Tây,Tier 2,10.1093297,105.2771844,1042,229,121,5.0
1647,"TTKH Nguyễn Hội, Phan Thiết",Tây Nguyên,Tây Nguyên,,10.93579,108.0973,1886,420,117,5.0
1648,"PNJ Go, Phan Rang",Tây Nguyên,Tây Nguyên,,11.5739132,108.993921,1541,0,82,5.0
1649,L5-46 Nguyễn Chí Thanh,Miền Tây,Miền Tây,Tier 3,9.95106339999999,105.1157411,1719,0,103,0.0
1651,Go Bà Rịa,Đông Nam Bộ,Đông Nam Bộ,,10.4930093,107.16791,0,0,0,0.0
1652,TTKH Phan Rí,Tây Nguyên,Tây Nguyên,,11.1752023,108.5648273,0,165,0,0.0
1653,TTKH 2253 Đại lộ Hùng Vương,Tây Nguyên & Nam Trung Bộ,Tây Nguyên,Tier 02,11.916882,109.1425157,0,0,0,0.0
1654,"TTKH L1-5, L1-6 Nguyễn Khuyến, Biên Hòa",Đông Nam Bộ,Đông Nam Bộ,,10.9859925,106.8691758,0,0,0,0.0
1655,TTKH 57-58 Định Quán,Đông Nam Bộ,Đông Nam Bộ,,11.1943494,107.350787,0,0,0,0.0
1656,PNJ Hanoi Centre Mall,Miền Bắc,Hà Nội,Tier 01,21.0315543,105.8308186,0,0,0,0.0
1657,"PNJ 36 Nguyễn Tất Thành, Lệ Thủy, Quảng Trị",Miền Trung,,,17.2225001,106.7937334,0,0,0,0.0
1658,TTKH Miễu Ông Cù,Đông Nam Bộ,Bình Dương,Tier 01,10.9337485,106.7422952,0,0,0,0.0
1659,"PNJ Aeon Tân An, Long An Tây",Miền Tây,Miền Tây,Tier 01,10.5993312,106.4416501,0,0,0,0.0
1660,"TTKH 362-364 Trần Phú, Thanh Hóa",Miền Bắc,Thanh Hóa,Tier 02,19.8022398,105.7757986,0,0,0,0.0
1661,TTKH Bình Hòa,Đông Nam Bộ,Bình Dương,Tier 01,10.8915387,106.7294213,0,0,0,0.0
1662,"TTKH 164 Phạm Văn Đồng, HN",Miền Bắc,Hà Nội,Tier 01,,,0,0,0,0.0
missing_001,PNJ Chi nhánh Miền Trung,,,,,,0,76,0,0.0
missing_002,"PNJ Lê Thánh Tôn, Nha Trang",,,,,,0,606,0,0.0
missing_003,"PNJ Lý Thường Kiệt, Buôn Ma Thuột",,,,,,0,737,0,0.0
missing_004,"PNJ tại Co.opmart Phan Thiết, Bình Thuận",,,,,,0,657,0,0.0
missing_005,"PNJ tại Co.opmart Pleiku, Gia Lai",,,,,,0,377,0,0.0
